fiyat,genislik,toplam_hacim,yukseklik,derinlik
"6.106,02 TL",48 cm,200 L ve altı,82 cm,50 cm
41.000 TL,75 cm,601+ L,186 cm,84 cm
33.999 TL,70 cm,476-500 L,185 cm,70 cm
68.888 TL,86 cm,601+ L,186 cm,84 cm
33.060 TL,84 cm,576-600 L,186 cm,75 cm
64.000 TL,83 cm,601+ L,191 cm,74 cm
"58.689,05 TL",60 cm,351-375 L,180 cm,60 cm
22.000 TL,70 cm,476-500 L,187 cm,79 cm
73.000 TL,86 cm,576-600 L,187 cm,74 cm
13.699 TL,54 cm,251-275 L,160 cm,41 cm
29.500 TL,60 cm,251-275 L,171 cm,64 cm
29.999 TL,70 cm,451-475 L,185 cm,70 cm
53.599 TL,91 cm,576-600 L,185 cm,77 cm
19.300 TL,46 cm,201-225 L,130 cm,50 cm
20.429 TL,70 cm,576-600 L,187 cm,72 cm
31.000 TL,70 cm,451-475 L,187 cm,72 cm
38.500 TL,83 cm,576-600 L,184 cm,70 cm
9.500 TL,47 cm,200 L ve altı,81 cm,50 cm
25.999 TL,70 cm,426-450 L,172 cm,65 cm
34.539 TL,74 cm,501-525 L,186 cm,75 cm
"43.299,99 TL",70 cm,451-475 L,182 cm,71 cm
13.989 TL,54 cm,276-300 L,160 cm,57 cm
24.800 TL,76 cm,501-525 L,186 cm,75 cm
17.222 TL,70 cm,476-500 L,183 cm,66 cm
17.499 TL,59 cm,276-300 L,176 cm,55 cm
29.990 TL,60 - 75 cm,400 - 600 L,180 - 195 cm,75 cm +
5.444 TL,48 cm,200 L ve altı,49 cm,44 cm
33.999 TL,60 cm,326-350 L,186 cm,66 cm
64.599 TL,82 cm,601+ L,191 cm,74 cm
29.645 TL,60 cm,251-275 L,187 cm,66 cm
64.788 TL,75 cm,526-550 L,186 cm,80 cm
26.999 TL,70 cm,451-475 L,183 cm,72 cm
64.999 TL,70 cm,526-550 L,188 cm,70 cm
39.800 TL,76 cm,526-550 L,186 cm,73 cm
23.749 TL,70 cm,401-425 L,173 cm,72 cm
80.000 TL,86 cm,600-625 L,186 cm,81 cm
56.500 TL,76 cm,526-550 L,186 cm,73 cm
40.999 TL,70 cm,476-500 L,187 cm,75 cm
47.999 TL,75 cm,526-550 L,186 cm,74 cm
25.900 TL,70 cm,426-450 L,180 cm,66 cm
41.999 TL,74 cm,576-600 L,186 cm,76 cm
13.900 TL,44 cm,200 L ve altı,140 cm,54 cm
51.999 TL,83 cm,601+ L,191 cm,74 cm
31.699 TL,79 cm,576-600 L,180 cm,75 cm
30.000 TL,79 cm,526-550 L,184 cm,71 cm
41.999 TL,78 cm,551-575 L,186 cm,75 cm
39.000 TL,70 cm,451-475 L,185 cm,71 cm
17.385 TL,59 cm,301-325 L,174 cm,60 cm
24.900 TL,70 cm,476-500 L,187 cm,75 cm
6.900 TL,44 cm,0 - 90 L,56 cm,45 cm
47.899 TL,74 cm,526-550 L,182 cm,69 cm
60.995 TL,74 cm,576-600 L,186 cm,75 cm
13.700 TL,54 cm,226-250 L,144 cm,57 cm
38.999 TL,74 cm,526-550 L,186 cm,80 cm
23.800 TL,60 cm,301-325 L,186 cm,65 cm
44.000 TL,79 cm,426-450 L,180 cm,70 cm
56.499 TL,78 cm,576-600 L,186 cm,76 cm
29.999 TL,70 cm,401-425 L,185 cm,65 cm
33.999 TL,74 cm,501-525 L,188 cm,70 cm
47.999 TL,83 cm,576-600 L,188 cm,76 cm
41.999 TL,78 cm,551-575 L,186 cm,75 cm
31.499 TL,70 cm,451-475 L,184 cm,72 cm
38.848 TL,83 cm,451-475 L,181 cm,65 cm
"41.272,04 TL",60 - 75 cm,400 - 600 L,180 - 195 cm,75 cm +
